Compound	Cluster	Classes	Common names	MetaCyc link
3-UREIDO-ISOBUTYRATE	3	Ureido-Compounds, Organic-Acids, Chemicals, Acids, FRAMES, Compounds, Ureidocarboxylates, All-Carboxy-Acids, Compounds-And-Elements, Carboxylates	3-(carbamoylamino)-2-methylpropanoate	https://metacyc.org/compound?orgid=META&id=3-UREIDO-ISOBUTYRATE
CPD-15936	3	POLYKETIDE, Chemicals, Compounds, Secondary-Metabolites, FRAMES, Compounds-And-Elements	tetracenomycin F2	https://metacyc.org/compound?orgid=META&id=CPD-15936
CPD-254	3	Chemicals, Compounds, Modified-Bases, FRAMES, Compounds-And-Elements, All-Nucleosides	5-hydroxymethyluracil	https://metacyc.org/compound?orgid=META&id=CPD-254
CPD-10819	3	Organonitrogen-Heterocyclic-Compounds, Organic-Heteropolycyclic-Compounds, Chemicals, Organic-heteromonocyclic-compounds, Organic-heterocyclic-compound, FRAMES, Organonitrogen-Compounds, Cofactors, Compounds, Pteridines, Nitrogen-Molecular-Entities, Compounds-And-Elements, Pterins, All-Biopterines, Organic-heterobicyclic-compounds	L-erythro-biopterin	https://metacyc.org/compound?orgid=META&id=CPD-10819
ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND	3	All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Glycans, Compounds, Prenylated-Glycans, Lipids, Oligosaccharide-Lipid, Glycolipids, Glycoconjugates, Compounds-And-Elements, Oligosaccharides	&beta;-D-ManNAc-(1&rarr;4)-&alpha;-D-GlcNAc-PP-Und	https://metacyc.org/compound?orgid=META&id=ACETYL-ETCETERA-GLUCOSAMINYLDIPHOSPHOUND
CPD0-2018	3	Chemicals, Compounds, Modified-Bases, FRAMES, Compounds-And-Elements, All-Nucleosides	5-methylcytosine	https://metacyc.org/compound?orgid=META&id=CPD0-2018
DIHYDRO-THYMINE	3	Organic-heteromonocyclic-compounds, Chemicals, Modified-Bases, FRAMES, Organic-heterocyclic-compound, Organonitrogen-Compounds, Compounds, Organonitrogen-Heterocyclic-Compounds, Diazines, All-Nucleosides, Nitrogen-Molecular-Entities, Compounds-And-Elements, Pyrimidines	5,6-dihydrothymine	https://metacyc.org/compound?orgid=META&id=DIHYDRO-THYMINE
UDP-N-ACETYL-2-AMINO-D-GLUCURONATE	3	Chemicals, Compounds, FRAMES, Compounds-And-Elements	UDP-N-acetyl-&alpha;-D-glucosaminouronate	https://metacyc.org/compound?orgid=META&id=UDP-N-ACETYL-2-AMINO-D-GLUCURONATE
CPD0-1110	3	Chemicals, FRAMES, Monosaccharides, Carbohydrates, Aldopyranoses, Glycans, D-Ribopyranose, Aldopentoses, Compounds, Aldehydes-Or-Ketones, D-Pentoses, D-aldopentose, All-Carbohydrates, Ribose, Aldoses, Pentoses, RIBOSE, D-aldopyranoses, Aldehydes, Compounds-And-Elements, D-Aldoses, Sugar	&beta;-D-ribopyranose	https://metacyc.org/compound?orgid=META&id=CPD0-1110
THYMINE	3	Organonitrogen-Heterocyclic-Compounds, Organic-heteromonocyclic-compounds, Chemicals, Organonitrogen-Compounds, FRAMES, Bases, Organic-heterocyclic-compound, Diazines, All-Nucleosides, Compounds-And-Elements, Compounds, Nitrogen-Molecular-Entities, Pyrimidine-Bases, Pyrimidines	thymine	https://metacyc.org/compound?orgid=META&id=THYMINE
CPD-22404	3	All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Glycans, Compounds, Lipid-X, Lipids, Glycoconjugates, Glycolipids, Compounds-And-Elements	lipid X (P. putida)	https://metacyc.org/compound?orgid=META&id=CPD-22404
ALLANTOATE	3	Organic-Acids, Chemicals, Acids, FRAMES, Amides, Carboxamides, Compounds, Carboxylates, Compounds-And-Elements, All-Carboxy-Acids, Monocarboxylates	allantoate	https://metacyc.org/compound?orgid=META&id=ALLANTOATE
ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE	3	All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Glycans, Compounds, Prenylated-Glycans, Lipids, Oligosaccharide-Lipid, Glycolipids, Glycoconjugates, Compounds-And-Elements, Oligosaccharides	&alpha;-D-GlcNAc-PP-Und	https://metacyc.org/compound?orgid=META&id=ACETYL-D-GLUCOSAMINYLDIPHOSPHO-UNDECAPRE
CPD-2961	3	Carbohydrate-Derivatives, All-Carbohydrates, Chemicals, FRAMES, Carbohydrates, Glycans, Compounds, Carbohydrate-acid-derivatives, Compounds-And-Elements	D-gluconate 6-phosphate	https://metacyc.org/compound?orgid=META&id=CPD-2961
KDO	3	Ketoaldonates, Organic-Acids, Chemicals, All-Carbohydrates, Acids, Carbohydrate-acids, FRAMES, Carbohydrates, Glycans, Compounds, CPD-21351, All-Carboxy-Acids, Compounds-And-Elements, Carboxylates	3-deoxy-&alpha;-D-manno-2-octulosonate	https://metacyc.org/compound?orgid=META&id=KDO
