#
#  candidatus_phaeomarinobacter_ectocarpicyc 1.0 Genes link table generated on Sun Jun 25, 2023
#  All columns are separated by tab characters.
#  Columns are: 
#
#  GENE-ID  EG#  b#  y-name  CGSC-ID  UniProt-ID  GENE-NAME  
#
#   GENE-ID      = Pathway Tools unique identifier for the gene
#   UniProt-ID = Swiss-Prot identifier
#   GENE-NAME    = Pathway Tools gene name
#
#
BSI__PFLU_U_BE1__K141_101439_79		hisF	
BSI__PFLU_U_BE1__K141_101439_80			
BSI__PFLU_U_BE1__K141_101439_81			
BSI__PFLU_U_BE1__K141_101439_82		hisE	
BSI__PFLU_U_BE1__K141_101439_83		pkcI	
BSI__PFLU_U_BE1__K141_101439_84			
BSI__PFLU_U_BE1__K141_101439_85		MA20_24505	
BSI__PFLU_U_BE1__K141_101439_86			
BSI__PFLU_U_BE1__K141_101439_87			
BSI__PFLU_U_BE1__K141_101439_88			
BSI__PFLU_U_BE1__K141_101439_89			
BSI__PFLU_U_BE1__K141_101439_90			
BSI__PFLU_U_BE1__K141_101439_91		pleC	
BSI__PFLU_U_BE1__K141_101439_92			
BSI__PFLU_U_BE1__K141_101439_93			
BSI__PFLU_U_BE1__K141_101439_94			
BSI__PFLU_U_BE1__K141_101439_95		alkB	
BSI__PFLU_U_BE1__K141_101439_96			
BSI__PFLU_U_BE1__K141_101439_97			
BSI__PFLU_U_BE1__K141_101439_98			
BSI__PFLU_U_BE1__K141_101439_99			
BSI__PFLU_U_BE1__K141_101439_100		rph	
BSI__PFLU_U_BE1__K141_101439_101		rdgB	
BSI__PFLU_U_BE1__K141_101439_102		hemN	
BSI__PFLU_U_BE1__K141_101439_103			
BSI__PFLU_U_BE1__K141_101439_104		rsmI	
BSI__PFLU_U_BE1__K141_101439_105			
BSI__PFLU_U_BE1__K141_101439_106			
BSI__PFLU_U_BE1__K141_101439_107			
BSI__PFLU_U_BE1__K141_101439_108		gshB	
BSI__PFLU_U_BE1__K141_101439_109		comM	
BSI__PFLU_U_BE1__K141_101439_110			
BSI__PFLU_U_BE1__K141_101439_111		olsB	
BSI__PFLU_U_BE1__K141_101439_112			
BSI__PFLU_U_BE1__K141_101439_113		mutS	
BSI__PFLU_U_BE1__K141_101439_114			
BSI__PFLU_U_BE1__K141_101439_115		glnD	
BSI__PFLU_U_BE1__K141_101439_116		murJ	
BSI__PFLU_U_BE1__K141_101439_117		trpS	
BSI__PFLU_U_BE1__K141_101439_118			
BSI__PFLU_U_BE1__K141_101439_119		MA20_23830	
BSI__PFLU_U_BE1__K141_101439_120		nifU	
BSI__PFLU_U_BE1__K141_101439_121			
BSI__PFLU_U_BE1__K141_101439_122		rutE	
BSI__PFLU_U_BE1__K141_101439_123		yeaZ	
BSI__PFLU_U_BE1__K141_101439_124		rimI	
BSI__PFLU_U_BE1__K141_101439_125		fur	
BSI__PFLU_U_BE1__K141_101439_126		plsC	
BSI__PFLU_U_BE1__K141_101439_127		miaB	
BSI__PFLU_U_BE1__K141_101439_128		phoH	
BSI__PFLU_U_BE1__K141_101439_129		ybeY	
BSI__PFLU_U_BE1__K141_101439_130		tlyC	
BSI__PFLU_U_BE1__K141_101439_131		lnt	
BSI__PFLU_U_BE1__K141_101439_132		MA20_23890	
BSI__PFLU_U_BE1__K141_101439_133		metK	
BSI__PFLU_U_BE1__K141_101439_134		trmB	
