Compound	Cluster	Classes	Common names	MetaCyc link
2-OXOBUTANOATE	3	Chemicals, 2-Oxo-Acids, FRAMES, Organic-Acids, Acids, 2-Oxo-carboxylates, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	2-oxobutanoate	https://metacyc.org/compound?orgid=META&id=2-OXOBUTANOATE
CPD-15435	3	Chemicals, FRAMES, CPD-608, Adenylates, Compounds, Compounds-And-Elements	(L-threonylcarbamoyl)adenylate	https://metacyc.org/compound?orgid=META&id=CPD-15435
CPD-12253	3	2R-Hydroxy-Fatty-Acids, CPD66-39, Hydroxy-carboxylates, Acids, Straight-Chain-234-Sat-FA, Carboxylates, Compounds-And-Elements, FRAMES, Fatty-Acids, Organic-Acids, Hydroxy-fatty-acids, All-Carboxy-Acids, Compounds, D-2-hydroxyacids, Even-Straight-Chain-234-Sat-FA, R2OH-Straight-Chain-234-Sat-FA, Hydroxy-Butyrates, 2-Hydroxy-carboxylates, Chemicals, 2-Hydroxy-Fatty-Acids, IN-CHAIN-HYDROXY-FATTY-ACID, 2-Or-3-Hydroxy-Fatty-Acids	(R)-2-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=CPD-12253
2-KETO-3-METHYL-VALERATE	3	Short-Chain-Carboxylates, CPD66-39, Acids, Carboxylates, Short-chain-fatty-acids, Compounds, Anteiso-fatty-acids, CPD-21103, Compounds-And-Elements, Saturated-Fatty-Acids, Chemicals, 2-Oxo-Acids, FRAMES, Fatty-Acids, Organic-Acids, 2-Oxo-carboxylates, All-Carboxy-Acids, Methyl-Branched-Fatty-Acids, Branched-chain-fatty-acids	(3S)-3-methyl-2-oxopentanoate	https://metacyc.org/compound?orgid=META&id=2-KETO-3-METHYL-VALERATE
NIACINAMIDE	3	B-vitamins, Chemicals, Compounds-And-Elements, Aliphatic-Amides, FRAMES, Amides, Vitamins, Compounds, Carboxamides	nicotinamide	https://metacyc.org/compound?orgid=META&id=NIACINAMIDE
THR	3	Amino-Acids, Acids, All-Amino-Acids, Carboxylates, Alpha-Amino-Acids, Compounds-And-Elements, Chemicals, FRAMES, Amino-Acids-20, L-Amino-Acids, Organic-Acids, Uncharged-polar-amino-acids, All-Carboxy-Acids, Polar-amino-acids, Compounds	L-threonine	https://metacyc.org/compound?orgid=META&id=THR
1-KETO-2-METHYLVALERATE	3	FRAMES, Chemicals, Compounds, Compounds-And-Elements	(R)-2,3-dihydroxy-3-methylpentanoate	https://metacyc.org/compound?orgid=META&id=1-KETO-2-METHYLVALERATE
2-ACETO-2-HYDROXY-BUTYRATE	3	Chemicals, CPD-12642, FRAMES, Organic-Acids, Acids, Carboxylates, All-Carboxy-Acids, Compounds, Compounds-And-Elements	(S)-2-aceto-2-hydroxybutanoate	https://metacyc.org/compound?orgid=META&id=2-ACETO-2-HYDROXY-BUTYRATE
L-ALLO-THREONINE	3	Amino-Acids, Chemicals, FRAMES, ALLO-THR, Organic-Acids, Acids, Non-standard-amino-acids, All-Amino-Acids, Carboxylates, All-Carboxy-Acids, Alpha-Amino-Acids, Compounds, Compounds-And-Elements	L-allo-threonine	https://metacyc.org/compound?orgid=META&id=L-ALLO-THREONINE
ILE	3	Amino-Acids, Branched-Amino-Acids, Acids, All-Amino-Acids, Carboxylates, Alpha-Amino-Acids, Compounds-And-Elements, Non-polar-amino-acids, Chemicals, FRAMES, Amino-Acids-20, L-Amino-Acids, Organic-Acids, All-Carboxy-Acids, Compounds	L-isoleucine	https://metacyc.org/compound?orgid=META&id=ILE
